epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.807,3.22472,2.58826,3.23997,0.36447,0.36662,0.3058,0.15104,2.20085,1.32694,2.08399,0.000132922,0.000132922,0.000132922
2,634.692,1.80132,1.17909,1.80234,0.66074,0.64597,0.74087,0.4923,1.43055,0.8788,1.42143,0.000263619,0.000263619,0.000263619
3,803.526,1.53547,0.91784,1.4743,0.7857,0.8012,0.86383,0.58392,1.30328,0.75631,1.27336,0.000391677,0.000391677,0.000391677
4,964.793,1.41596,0.80339,1.35291,0.82744,0.78195,0.88691,0.62736,1.19753,0.72089,1.19434,0.00038812,0.00038812,0.00038812
5,1251.33,1.30847,0.71826,1.27272,0.88741,0.8697,0.91213,0.65111,1.1829,0.64295,1.17514,0.00038416,0.00038416,0.00038416
6,1432.97,1.25645,0.67561,1.23216,0.87912,0.88105,0.91448,0.63172,1.30894,0.66803,1.19971,0.0003802,0.0003802,0.0003802
7,1634.22,1.18779,0.63617,1.19191,0.89203,0.88598,0.92001,0.67991,1.13626,0.60444,1.11781,0.00037624,0.00037624,0.00037624
8,1834.39,1.16563,0.60891,1.16985,0.89652,0.89366,0.92037,0.68402,1.10136,0.57906,1.10121,0.00037228,0.00037228,0.00037228
9,1976.23,1.119,0.58223,1.1446,0.89899,0.89294,0.92285,0.69037,1.05922,0.53857,1.07298,0.00036832,0.00036832,0.00036832
10,2268.96,1.08516,0.56241,1.12378,0.90168,0.90089,0.92389,0.69018,1.05446,0.54781,1.07247,0.00036436,0.00036436,0.00036436
11,2460.18,1.06114,0.54259,1.11222,0.89521,0.9132,0.9268,0.68939,1.11056,0.54726,1.08325,0.0003604,0.0003604,0.0003604
12,2624.42,1.05485,0.53232,1.10255,0.89778,0.91986,0.92696,0.70043,1.05544,0.52298,1.06551,0.00035644,0.00035644,0.00035644
13,2773.65,1.02235,0.52002,1.08735,0.89249,0.91354,0.92599,0.70781,1.02332,0.50987,1.05617,0.00035248,0.00035248,0.00035248
14,3191.29,1.0139,0.50979,1.08261,0.9052,0.91369,0.92677,0.70107,1.12646,0.53033,1.08344,0.00034852,0.00034852,0.00034852
15,3390.65,0.99654,0.50035,1.07521,0.90487,0.9151,0.92733,0.7143,1.00484,0.50156,1.04683,0.00034456,0.00034456,0.00034456
16,3615.8,0.98085,0.4896,1.0649,0.90606,0.90888,0.92601,0.70526,1.02657,0.4936,1.05041,0.0003406,0.0003406,0.0003406
17,3958.1,0.97071,0.48231,1.05884,0.91198,0.9184,0.92883,0.7073,1.09095,0.51245,1.06728,0.00033664,0.00033664,0.00033664
18,4097.77,0.9571,0.47462,1.05222,0.90721,0.91652,0.92721,0.71967,1.00305,0.48147,1.03828,0.00033268,0.00033268,0.00033268
19,4265.41,0.94295,0.46728,1.04881,0.89978,0.90991,0.92742,0.71278,1.03613,0.4903,1.04349,0.00032872,0.00032872,0.00032872
20,4450.18,0.93248,0.46357,1.04023,0.90987,0.91925,0.92779,0.71547,0.96751,0.4657,1.03143,0.00032476,0.00032476,0.00032476
21,4629.72,0.93916,0.46151,1.04296,0.90282,0.91365,0.9269,0.70067,1.07355,0.49597,1.05791,0.0003208,0.0003208,0.0003208
22,4818.46,0.90427,0.44908,1.02829,0.90534,0.92414,0.93184,0.71526,1.0233,0.47785,1.04182,0.00031684,0.00031684,0.00031684
23,5100.14,0.90073,0.44519,1.02942,0.90961,0.91583,0.92795,0.72057,1.01114,0.46613,1.0361,0.00031288,0.00031288,0.00031288
24,5374.31,0.88691,0.43878,1.02291,0.90102,0.92243,0.92801,0.71927,1.00288,0.46989,1.03573,0.00030892,0.00030892,0.00030892
25,5578.67,0.88292,0.43541,1.01631,0.89755,0.91813,0.92908,0.71976,1.05636,0.47765,1.04695,0.00030496,0.00030496,0.00030496
26,5783.65,0.87146,0.43076,1.01352,0.90477,0.92194,0.92854,0.72917,0.99045,0.45345,1.02755,0.000301,0.000301,0.000301
27,5947.47,0.86695,0.42627,1.01089,0.90351,0.92237,0.92806,0.72834,0.9753,0.44449,1.0272,0.00029704,0.00029704,0.00029704
28,6177.17,0.85397,0.42103,1.00673,0.90622,0.91767,0.92825,0.72394,1.02678,0.46204,1.03515,0.00029308,0.00029308,0.00029308
29,6334.12,0.85098,0.41914,1.00389,0.90414,0.92192,0.9299,0.72909,0.97194,0.44556,1.02412,0.00028912,0.00028912,0.00028912
30,6490.78,0.84205,0.41437,1.00077,0.90857,0.91741,0.92983,0.72367,1.0342,0.45832,1.04456,0.00028516,0.00028516,0.00028516
31,6716.32,0.84153,0.41121,0.99746,0.90648,0.91994,0.9298,0.73292,0.96485,0.43304,1.01853,0.0002812,0.0002812,0.0002812
32,6941.54,0.82789,0.40762,0.9934,0.90067,0.923,0.92861,0.72671,1.02757,0.45034,1.03624,0.00027724,0.00027724,0.00027724
33,7166.67,0.82216,0.40243,0.9887,0.90188,0.92277,0.92866,0.73311,0.96289,0.43343,1.02142,0.00027328,0.00027328,0.00027328
34,7436.4,0.81555,0.40232,0.98677,0.9024,0.91901,0.92948,0.73693,0.9493,0.42974,1.01744,0.00026932,0.00026932,0.00026932
35,7949.05,0.80628,0.39769,0.98201,0.9039,0.91823,0.93019,0.73353,0.9813,0.42998,1.0241,0.00026536,0.00026536,0.00026536
36,8226.07,0.80054,0.39454,0.98024,0.89849,0.92601,0.92978,0.73411,0.96726,0.42838,1.01926,0.0002614,0.0002614,0.0002614
37,8589.23,0.79513,0.39182,0.97701,0.90058,0.92442,0.92965,0.7325,0.99143,0.43269,1.02703,0.00025744,0.00025744,0.00025744
